,literacy_home,risk_factors,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,math_1,math_status_1,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,hs_gpa,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y,aspired_occ_b_-1,aspired_occ_b_1,aspired_occ_b_2,aspired_occ_b_3,aspired_occ_b_4,aspired_occ_b_5,aspired_occ_b_6,aspired_occ_b_7,aspired_occ_b_8,aspired_occ_b_9,aspired_occ_b_10,aspired_occ_b_11,aspired_occ_b_12,aspired_occ_b_13,aspired_occ_b_14,aspired_occ_b_15,aspired_occ_b_16,aspired_occ_b_17,aspired_occ_1_-1,aspired_occ_1_1,aspired_occ_1_2,aspired_occ_1_3,aspired_occ_1_4,aspired_occ_1_5,aspired_occ_1_6,aspired_occ_1_7,aspired_occ_1_8,aspired_occ_1_9,aspired_occ_1_10,aspired_occ_1_11,aspired_occ_1_12,aspired_occ_1_13,aspired_occ_1_14,aspired_occ_1_15,aspired_occ_1_16,aspired_occ_1_17
141,2,0,56.35,63.35,-0.171,0.174,0.052000000000000005,3,0,8,8,0,8,54.62,6,2,0,3,0.528,23,6,1.0,184.0,174.32,190.05,327.71999999999997,1104,16050.869999999999,2.5,8367360.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
142,3,0,52.57,55.47,1.7719999999999998,1.5959999999999999,0.052000000000000005,0,0,15,1,1,8,57.45,6,0,0,2,0.746,27,4,1.0,405.0,165.49,221.88,344.70000000000005,1620,23796.36,0.0,9929400.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,3,0,59.32,57.19,0.36,0.5197,0.7735,0,1,3,2,0,7,64.16,6,3,2,2,0.036000000000000004,22,5,1.0,66.0,180.67,228.76,384.96,330,15343.0,0.0,7588139.999999999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
144,3,0,55.34,57.56,0.5129,0.14529999999999993,0.052000000000000005,2,3,8,4,1,7,51.91,6,2,1,4,0.054200000000000005,27,4,1.0,216.0,164.81,230.24,311.46,864,18959.5,4.2,8240500.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
145,3,0,60.21,63.35,-0.18100000000000002,1.4069999999999998,0.5307,0,0,26,4,2,6,57.29,6,1,5,4,-1.284,23,4,2.0,598.0,180.85,253.4,343.74,2392,29259.86,0.0,6329750.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,2,0,42.0,41.91,0.387,-0.183,0.052000000000000005,1,3,5,3,0,4,39.12,5,5,5,1,-0.755,25,5,2.0,125.0,123.03,125.72999999999999,195.6,625,9639.9,0.0,5536350.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,2,4,31.93,37.6,0.5539999999999999,1.089,0.539,0,1,12,0,6,6,35.29,5,7,6,2,-1.046,25,2,2.0,300.0,104.82,112.80000000000001,176.45,600,10702.25,8.0,4821720.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,2,1,53.44,50.54,-0.14400000000000002,0.893,1.11,1,2,17,1,0,7,49.59,6,3,3,1,0.528,26,5,1.0,482.5,153.57,151.62,297.54,2375,21645.308,2.0,5989230.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
149,3,0,39.24,37.35,-0.63,-0.9329999999999999,-1.55,0,2,5,3,2,4,37.17,5,1,5,1,-0.526,24,3,2.0,120.0,113.76,149.4,185.85000000000002,360,9722.25,0.0,1933920.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
150,2,1,51.08,53.18,-0.7493000000000001,-0.2699,0.09339999999999998,1,1,10,3,0,8,48.32,5,0,5,2,0.0866,26,5,2.0,270.1,152.57999999999998,164.32999999999998,241.6,1259,17884.112,3.8,3661919.9999999995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
