,literacy_home,risk_factors,aspired_occ_b,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,aspired_occ_1,math_1,math_status_1,hs_gpa,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y
5360,2.0,,7.0,48.24,33.9,-0.867,-0.9329999999999999,-0.898,1.0,0.0,21.0,4.0,1.0,6.0,13.0,46.79,5.0,2.0,4.0,,1.5330000000000001,33.0,4.0,2.0,25.0,128.93,101.69999999999999,233.95,50.0,8391.25,,1031440.0,0.0
2052,2.0,1.0,9.0,47.11,51.89,-0.128,-0.11800000000000001,,0.0,0.0,,8.0,4.0,6.0,16.0,48.2,3.0,0.0,4.0,8.0,1.035,23.0,2.0,1.0,,147.2,155.67000000000002,144.60000000000002,,,9.035,3679999.9999999995,0.0
15234,3.0,0.0,10.0,58.59,52.26,,,0.436,2.0,2.0,6.0,1.0,0.0,8.0,10.0,61.63,6.0,5.0,1.0,3.0,0.28300000000000003,24.0,5.0,1.0,11.0,172.48,209.04,369.78000000000003,55.0,6367.02,0.0,8624000.0,0.0
14290,,0.0,10.0,47.15,56.33,-0.813,1.1540000000000001,1.7619999999999998,1.0,0.0,16.0,5.0,0.0,6.0,9.0,44.27,4.0,3.0,3.0,3.0,,26.0,5.0,2.0,21.0,147.75,,177.08,63.0,,,6205500.0,0.0
13309,3.0,0.0,9.0,71.54,70.01,1.7719999999999998,1.4069999999999998,-0.14300000000000002,0.0,3.0,13.0,0.0,3.0,8.0,9.0,69.96,6.0,2.0,0.0,2.0,,21.0,4.0,1.0,17.0,211.51,280.04,419.76,34.0,11896.599999999999,,6979830.0,0.0
15502,3.0,0.0,6.0,44.26,44.25,1.2670000000000001,1.146,0.509,2.0,0.0,7.0,1.0,6.0,6.0,9.0,41.13,5.0,4.0,0.0,2.0,1.042,24.0,4.0,1.0,11.0,129.64,177.0,205.65,44.0,4209.15,0.0,5444879.999999999,0.0
3863,3.0,0.0,17.0,46.52,42.41,-0.63,-0.9329999999999999,-0.14300000000000002,2.0,2.0,3.0,8.0,4.0,4.0,6.0,47.89,4.0,1.0,5.0,3.0,-0.755,24.0,3.0,2.0,6.0,136.82,169.64,191.56,6.0,2167.2,0.0,4925520.0,1.0
9904,2.0,1.0,10.0,40.33,52.88,-1.831,-0.475,-1.579,0.0,0.0,2.0,2.0,0.0,7.0,9.0,37.93,5.0,2.0,4.0,1.0,-1.7930000000000001,24.0,3.0,1.0,5.0,131.14000000000001,158.64000000000001,189.65,10.0,1741.45,0.20699999999999985,3540780.0000000005,0.0
16121,3.0,2.0,-1.0,61.92,58.55,0.5710000000000001,1.5959999999999999,1.9509999999999998,2.0,4.0,15.0,3.0,2.0,8.0,9.0,64.93,6.0,2.0,3.0,2.0,0.23800000000000002,25.0,5.0,1.0,20.0,185.4,234.2,389.58000000000004,40.0,12475.599999999999,6.476,2781000.0,1.0
3511,3.0,2.0,,32.51,30.45,,0.055,-1.195,2.0,0.0,14.0,7.0,6.0,5.0,,29.44,2.0,4.0,,7.0,-0.504,25.0,3.0,2.0,17.0,92.39999999999999,121.8,58.88,68.0,3071.56,12.992,739199.9999999999,0.0
916,,1.0,-1.0,47.69,44.62,,,-1.847,1.0,0.0,8.0,8.0,3.0,4.0,2.0,45.51,5.0,3.0,5.0,4.0,-0.504,27.0,3.0,2.0,11.0,137.82,,227.54999999999998,33.0,,7.496,4685880.0,0.0
